name,key,variable,sort
CATV Components,catvComponents,catvComponents,0
Barriers/Jones/Edge,barriersjonesedge,barriersjonesedge,0
CIN::APSE Compression Interconnects,cinapseCompressionInterconnects,cinapseCompressionInterconnects,0
D-Subminiature,dsubminiature,dsubminiature,0
Dura-Con MIL-DTL-83513 Micro-D,duraconMildtl83513Microd,duraconMildtl83513Microd,0
EMI Filter Connectors,emiFilterConnectors,emiFilterConnectors,0
Fiber/Actives/Optical,fiberactivesoptical,fiberactivesoptical,0
FQIS,fqis,fqis,0
Hardware & Other,hardwareOther,hardwareOther,0
Hermetic Connectors,hermeticConnectors,hermeticConnectors,0
I/O Connectors,ioConnectors,ioConnectors,0
Microwave Components,microwaveComponents,microwaveComponents,0
"MIL-DTL-26500, 5015, 26482 & Mil/Aero Circulars",mildtl26500501526482MilaeroCirculars,mildtl26500501526482MilaeroCirculars,0
ModICE Enclosures,modiceEnclosures,modiceEnclosures,0
Patching Solutions,patchingSolutions,patchingSolutions,0
RF & MW Cable & Assemblies,rfMwCableAssemblies,rfMwCableAssemblies,0
RF & MW Interconnect,rfMwInterconnect,rfMwInterconnect,0
c-enx ™ EN 4644 Modular Rectangular Connectors,cenx,cenx,0
